message,severity,attributes,tags,timestamp
Traceback (most recent call last):,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.771856721Z
ConnectionError: engine: connection error: could not establish publisher connection: timeout,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.771862393Z
"  File ""/opt/venv/lib/python3.12/site-packages/livekit/agents/voice/remote_session.py"", line 120, in send_message",error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.771864223Z
    writer = await self._room.local_participant.stream_bytes(,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.771868093Z
    writer = await self._room.local_participant.stream_bytes(,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.771872145Z
"failed to send binary stream message
Traceback (most recent call last):
  File ""/opt/venv/lib/python3.12/site-packages/livekit/agents/voice/remote_session.py"", line 120, in send_message
    writer = await self._room.local_participant.stream_bytes(
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/opt/venv/lib/python3.12/site-packages/livekit/rtc/participant.py"", line 656, in stream_bytes
    await writer._send_header()
  File ""/opt/venv/lib/python3.12/site-packages/livekit/rtc/data_stream.py"", line 189, in _send_header
    raise ConnectionError(cb.send_stream_header.error)
ConnectionError: engine: connection error: could not establish publisher connection: timeout",warn,"{""level"":""warn"",""timestamp"":""2026-05-01T00:05:13.095153+00:00"",""name"":""livekit.agents"",""exc_info"":""Traceback (most recent call last):\n  File \""/opt/venv/lib/python3.12/site-packages/livekit/agents/voice/remote_session.py\"", line 120, in send_message\n    writer = await self._room.local_participant.stream_bytes(\n             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File \""/opt/venv/lib/python3.12/site-packages/livekit/rtc/participant.py\"", line 656, in stream_bytes\n    await writer._send_header()\n  File \""/opt/venv/lib/python3.12/site-packages/livekit/rtc/data_stream.py\"", line 189, in _send_header\n    raise ConnectionError(cb.send_stream_header.error)\nConnectionError: engine: connection error: could not establish publisher connection: timeout"",""pid"":106,""job_id"":""AJ_4Ajjk8eMYZuy"",""room_id"":""RM_qXvWtaxdWT6S""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.771875872Z
livekit::rtc_engine::rtc_session:2084:livekit::rtc_engine::rtc_session - connection error: could not establish publisher connection: timeout,error,"{""level"":""error"",""timestamp"":""2026-05-01T00:05:13.095578+00:00"",""name"":""livekit"",""pid"":106,""job_id"":""AJ_4Ajjk8eMYZuy"",""room_id"":""RM_qXvWtaxdWT6S""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.771878324Z
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.771878567Z
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.771880549Z
ERROR:livekit:livekit::rtc_engine::rtc_session:2084:livekit::rtc_engine::rtc_session - connection error: could not establish publisher connection: timeout,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.771884757Z
