message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:21.787495995Z
INFO:livekit.agents:starting worker,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:27.717921389Z
starting worker,info,"{""level"":""info"",""timestamp"":""2026-04-28T22:51:26.099611+00:00"",""name"":""livekit.agents"",""version"":""1.5.6"",""rtc-version"":""1.1.5""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:27.717929494Z
INFO:livekit.agents:plugin registered,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:27.717938638Z
plugin registered,info,"{""level"":""info"",""timestamp"":""2026-04-28T22:51:26.099887+00:00"",""name"":""livekit.agents"",""plugin"":""livekit.plugins.google"",""version"":""1.5.6""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:27.717948039Z
INFO:livekit.agents:plugin registered,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:27.717956104Z
plugin registered,info,"{""level"":""info"",""timestamp"":""2026-04-28T22:51:26.100000+00:00"",""name"":""livekit.agents"",""plugin"":""livekit.plugins.bey"",""version"":""1.5.6""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:27.717965928Z
INFO:livekit.agents:preloading plugins,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:27.717975998Z
preloading plugins,info,"{""level"":""info"",""timestamp"":""2026-04-28T22:51:26.100090+00:00"",""name"":""livekit.agents"",""packages"":[""livekit.plugins.google"",""livekit.plugins.bey"",""av""]}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:27.717984995Z
INFO:livekit.agents:HTTP server listening on :8081,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""7b47538e-4103-4c62-9503-9c72fd20bb7a"",""replica"":""7280af3c-7c58-47bf-8d16-cf41be5c5e0f""}",2026-04-28T22:51:27.717992706Z
